name,location,city,state,ownership,rating,nirf_rank,courses_count,exams_accepted,tuition_fees,image_url,description
D.R. College of Engineering and Technology (DRCET),"Panipat, Haryana",Panipat,Haryana,Private,N/A,N/A,1 Courses,None,-/-,,"D.R. College of Engineering and Technology (DRCET) is a Private College, located in Panipat, Haryana. D.R. College of Engineering and Technology (DRCET) offers 1 courses at the Bachelors Levels such as BTech in multiple disciplines."
"B. J. Medical College, Ahmedabad","Ahmedabad, Gujarat",Ahmedabad,Gujarat,Private,4.5,N/A,3 Courses,None,₹90 K-90 K,,"B. J. Medical College, Ahmedabad is a Private College, located in Ahmedabad, Gujarat. B. J. Medical College, Ahmedabad offers 3 courses at the Bachelors, Doctorate, Masters Levels such as MBBS, MD, M.S in multiple disciplines."
R.G. Kar Medical College and Hospital,"Kolkata, West Bengal",Kolkata,West Bengal,Private,4,N/A,6 Courses,None,₹7 K-36 K,,"R.G. Kar Medical College and Hospital is a Private College, located in Kolkata, West Bengal. R.G. Kar Medical College and Hospital offers 6 courses at the Bachelors, Doctorate, Masters, Postgraduate Diploma Levels such as MBBS, MD, Master of Chirurgiae [M.Ch], M.S, PGD, DM in multiple disciplines."
DYPMCH,"Pune, Maharashtra",Pune,Maharashtra,Private,N/A,N/A,6 Courses,NEET,-/-,,"DYPMCH is a Private College, located in Pune, Maharashtra. DYPMCH offers 6 courses at the Bachelors, Doctorate, Masters, Postgraduate Diploma Levels such as MBBS, MD, Master of Chirurgiae [M.Ch], M.S, PhD, PGD in multiple disciplines."
Manav Rachna Dental College [MRDC],"Faridabad, Haryana",Faridabad,Haryana,Private,3.5,N/A,2 Courses,None,₹11.64 L-17.70 L,,"Manav Rachna Dental College [MRDC] is a Private College, located in Faridabad, Haryana. Manav Rachna Dental College [MRDC] offers 2 courses at the Bachelors, Masters Levels such as BDS, MDS in multiple disciplines."
"School of Distance Education, Pune","Pune, Maharashtra",Pune,Maharashtra,Public,N/A,N/A,10 Courses,None,-/-,,"School of Distance Education, Pune is a Public College, located in Pune, Maharashtra. School of Distance Education, Pune offers 10 courses at the Bachelors, Masters Levels such as BBA, B.Lib.I.Sc, M.Lib.I.Sc, BA, MA, MBA, M.Com, Distance B.Com, Distance MCA, Distance BCA in multiple disciplines."
D Y Patil Medical College,"Kolhapur, Maharashtra",Kolhapur,Maharashtra,Private,3.3,N/A,5 Courses,NEET,-/-,,"D Y Patil Medical College is a Private College, located in Kolhapur, Maharashtra. D Y Patil Medical College offers 5 courses at the Bachelors, Doctorate, Masters Levels such as MBBS, BSc, MD, MSc, M.S in multiple disciplines."
St.Xavier's College Palayamkottai,"Tirunelveli, Tamil Nadu",Tirunelveli,Tamil Nadu,Private,N/A,N/A,11 Courses,None,₹16 K-16 K,,"St.Xavier's College Palayamkottai is a Private College, located in Tirunelveli, Tamil Nadu. St.Xavier's College Palayamkottai offers 11 courses at the Bachelors, Masters, Doctorate Levels such as BBA, MCA, BA, BCom, BSc, MA, MBA, M.Com, M.Phil, MSc, PhD in multiple disciplines."
CCSU,"Meerut, Uttar Pradesh",Meerut,Uttar Pradesh,Public,3.3,N/A,24 Courses,None,₹180 -1.28 L,,"CCSU is a Public University, located in Meerut, Uttar Pradesh. CCSU offers 24 courses at the Bachelors, Masters, Doctorate Levels such as BFA, B.Lib.I.Sc, B.P.Ed, MIB, MCA, M.Ed, MFA, MJMC, LLM, M.Lib.I.Sc, M.P.Ed, MSW, BA, BCom, B.Ed, BSc Hons, BTech, MA, MBA, M.Com, M.Phil, MSc, PhD, MHRD in multiple disciplines."
Keshav Mahavidyalaya,"Delhi, Delhi NCR",Delhi,Delhi NCR,Public,3.8,N/A,4 Courses,DU JAT,-/-,,"Keshav Mahavidyalaya is a Public College, located in Delhi NCR. Keshav Mahavidyalaya offers 4 courses at the Bachelors Levels such as BMS, BA Hons, BCom, BSc Hons in multiple disciplines."
Nehru Arts and Science College Coimbatore,"Coimbatore, Tamil Nadu",Coimbatore,Tamil Nadu,Private,5,N/A,11 Courses,None,-/-,,"Nehru Arts and Science College Coimbatore is a Private College, located in Coimbatore, Tamil Nadu. Nehru Arts and Science College Coimbatore offers 11 courses at the Bachelors, Masters, Doctorate Levels such as BBA, BCA, MSW, BA, BCom, BSc, MA, M.Com, M.Phil, MSc, PhD in multiple disciplines."
"NMIMS University, Hyderabad","Hyderabad, Telangana",Hyderabad,Telangana,Private,3.8,N/A,5 Courses,None,₹3.50 L,,"NMIMS University, Hyderabad is a Private College, located in Hyderabad, Telangana. NMIMS University, Hyderabad offers 5 courses at the Bachelors Levels such as BBA, B.Pharmacy, BCom, BSc, BTech in multiple disciplines."
GNIHM Kolkata,"Kolkata, West Bengal",Kolkata,West Bengal,Private,3.9,N/A,6 Courses,None,₹3.48 L-4.35 L,,"GNIHM Kolkata is a Private College, located in Kolkata, West Bengal. GNIHM Kolkata offers 6 courses at the Bachelors, Masters Levels such as BBA, BHM, BA, BSc, MBA, MSc in multiple disciplines."
Wilson College,"Mumbai, Maharashtra",Mumbai,Maharashtra,Private,3.6,N/A,1 Courses,None,₹54 K,https://media.getmyuni.com/azure/college-image/small/wilson-college-mumbai.jpg,"Wilson College is a Private College, located in Mumbai, Maharashtra. Wilson College offers 1 courses at the Bachelors Levels such as BCom in multiple disciplines."
"Women's Christian College, Nagercoil","Nagapattinam, Tamil Nadu",Nagapattinam,Tamil Nadu,Private,N/A,N/A,8 Courses,None,₹717 -717,https://media.getmyuni.com/azure/college-image/small/women-s-christian-college-wcc-nagercoil.jpg,"Women's Christian College, Nagercoil is a Private College, located in Nagapattinam, Tamil Nadu. Women's Christian College, Nagercoil offers 8 courses at the Bachelors, Masters, Doctorate Levels such as BA, BCom, BSc, MA, M.Com, M.Phil, MSc, PhD in multiple disciplines."
"Pandit Deendayal Upadhyay Medical College, [PDUMC] Rajkot","Rajkot, Gujarat",Rajkot,Gujarat,Private,4.3,N/A,1 Courses,None,-/-,https://media.getmyuni.com/azure/college-image/small/pandit-deendayal-upadhyay-medical-college-pdumc-rajkot.jpg,"Pandit Deendayal Upadhyay Medical College, [PDUMC] Rajkot is a Private College, located in Rajkot, Gujarat. Pandit Deendayal Upadhyay Medical College, [PDUMC] Rajkot offers 1 courses at the Bachelors Levels such as MBBS in multiple disciplines."
"St. Joseph's College, Kozhikode","Kozhikode, Kerala",Kozhikode,Kerala,Private,N/A,N/A,8 Courses,None,-/-,https://media.getmyuni.com/azure/college-image/small/st-josephs-college-calicut.jpg,"St. Joseph's College, Kozhikode is a Private College, located in Kozhikode, Kerala. St. Joseph's College, Kozhikode offers 8 courses at the Bachelors, Masters Levels such as BCA, MSW, BA, BCom, BSc, MA, M.Com, MSc in multiple disciplines."
GIFT Design Academy,"Kolkata, West Bengal",Kolkata,West Bengal,Private,N/A,N/A,2 Courses,None,-/-,https://media.getmyuni.com/azure/college-image/small/global-institute-of-fashion-technology-gift-kolkata.jpg,"GIFT Design Academy is a Private College, located in Kolkata, West Bengal. GIFT Design Academy offers 2 courses at the Bachelors, Masters Levels such as BSc, MSc in multiple disciplines."
Gian Jyoti Institute of Management and Technology,"Rajpura, Punjab",Rajpura,Punjab,Private,4.3,N/A,6 Courses,None,₹1.21 L-2.60 L,https://media.getmyuni.com/azure/college-image/small/gian-jyoti-institute-of-management-and-technology-gjimt-mohali.jpg,"Gian Jyoti Institute of Management and Technology is a Private College, located in Rajpura, Punjab. Gian Jyoti Institute of Management and Technology offers 6 courses at the Bachelors, Masters, Doctorate Levels such as BBA, BCA, MCA, BCom, MBA, PhD in multiple disciplines."
Baba Raghav Das Medical College,"Gorakhpur, Uttar Pradesh",Gorakhpur,Uttar Pradesh,Public,N/A,N/A,3 Courses,NEET,₹64 K-1.89 L,,"Baba Raghav Das Medical College is a Public College, located in Gorakhpur, Uttar Pradesh. Baba Raghav Das Medical College offers 3 courses at the Bachelors, Doctorate, Masters Levels such as MBBS, MD, M.S in multiple disciplines."
Guwahati College of Architecture and Planning,"Guwahati, Assam",Guwahati,Assam,Private,3.8,N/A,2 Courses,NATA,-/-,,"Guwahati College of Architecture and Planning is a Private College, located in Guwahati, Assam. Guwahati College of Architecture and Planning offers 2 courses at the Bachelors, Masters Levels such as B.Arch, M.Arch in multiple disciplines."
Holy Cross College,"Agartala, Tripura",Agartala,Tripura,Private,3.7,N/A,14 Courses,None,-/-,,"Holy Cross College is a Private College, located in Agartala, Tripura. Holy Cross College offers 14 courses at the Bachelors, Masters, Doctorate, Postgraduate Diploma Levels such as BBA, BCA, MCA, MSW, BA, BCom, BSc, MA, M.Com, M.Phil, MSc, BASLP, PhD, PGD in multiple disciplines."
"St. George College of Management, Science and Nursing","Bangalore, Karnataka",Bangalore,Karnataka,Private,4,N/A,9 Courses,None,-/-,,"St. George College of Management, Science and Nursing is a Private College, located in Bangalore, Karnataka. St. George College of Management, Science and Nursing offers 9 courses at the Bachelors, Masters Levels such as BBM, BCA, MSW, BA, BCom, BSc, MA, MBA, MSc in multiple disciplines."
Dr. D. Y. Patil College of Agriculture Business Management,"Pune, Maharashtra",Pune,Maharashtra,Private,N/A,N/A,1 Courses,None,-/-,,"Dr. D. Y. Patil College of Agriculture Business Management is a Private College, located in Pune, Maharashtra. Dr. D. Y. Patil College of Agriculture Business Management offers 1 courses at the Bachelors Levels such as BBA in multiple disciplines."
Kurukshetra University (KUK),"Kurukshetra, Haryana",Kurukshetra,Haryana,Public,3.5,N/A,32 Courses,None,₹4 K-3.27 L,,"Kurukshetra University (KUK) is a Public University, located in Kurukshetra, Haryana. Kurukshetra University (KUK) offers 32 courses at the Bachelors, Masters, Doctorate, Postgraduate Diploma Levels such as BBA, LLB, B.Lib.I.Sc, B.Pharmacy, B.P.Ed, B.Voc, MCA, M.Ed, MFA, LLM, M.Lib.I.Sc, MPA, M.P.Ed, MSW, MTM, BA Hons, B.Ed, BSc, BTech, MA, MBA, M.Com, M.Pharm, M.Phil, MSc, MTech, BHMCT, PhD, PGD, MTTM, BTTH, HMCT in multiple disciplines."
"Institute of Management & Technology, Faridabad","Faridabad, Haryana",Faridabad,Haryana,Private,N/A,N/A,3 Courses,CMAT,-/-,,"Institute of Management & Technology, Faridabad is a Private College, located in Faridabad, Haryana. Institute of Management & Technology, Faridabad offers 3 courses at the Bachelors, Masters Levels such as BCA, MCA, MBA in multiple disciplines."
SCSVMV Kanchi University,"Kanchipuram, Tamil Nadu",Kanchipuram,Tamil Nadu,Private,3.4,N/A,19 Courses,"AISEEE, ATMA",₹10 K-7.52 L,,"SCSVMV Kanchi University is a Private College, located in Kanchipuram, Tamil Nadu. SCSVMV Kanchi University offers 19 courses at the Bachelors, Masters, Doctorate Levels such as BAMS, BBA, BCA, Bachelor of Engineering, B.P.Ed, MCA, ME, BA, BCom, B.Ed, BSc, BTech, MA, MBA, M.Com, M.Phil, MSc, MTech, PhD in multiple disciplines."
Modern College of Professional Studies,"Ghaziabad, Uttar Pradesh",Ghaziabad,Uttar Pradesh,Private,4,N/A,3 Courses,None,-/-,,"Modern College of Professional Studies is a Private College, located in Ghaziabad, Uttar Pradesh. Modern College of Professional Studies offers 3 courses at the Bachelors, Masters Levels such as BCA, M.Ed, B.Ed in multiple disciplines."
Navgujarat College of Computer Applications,"Ahmedabad, Gujarat",Ahmedabad,Gujarat,Private,N/A,N/A,1 Courses,None,-/-,,"Navgujarat College of Computer Applications is a Private College, located in Ahmedabad, Gujarat. Navgujarat College of Computer Applications offers 1 courses at the Bachelors Levels such as BCA in multiple disciplines."
K.M. Shah Dental College and Hospital,"Vadodara, Gujarat",Vadodara,Gujarat,Private,N/A,N/A,2 Courses,None,-/-,,"K.M. Shah Dental College and Hospital is a Private College, located in Vadodara, Gujarat. K.M. Shah Dental College and Hospital offers 2 courses at the Bachelors, Masters Levels such as BDS, MDS in multiple disciplines."
Gandhi Institute of Fashion and Textile,"Ahmedabad, Gujarat",Ahmedabad,Gujarat,Private,N/A,N/A,1 Courses,None,-/-,,"Gandhi Institute of Fashion and Textile is a Private College, located in Ahmedabad, Gujarat. Gandhi Institute of Fashion and Textile offers 1 courses at the Certificate Levels such as Certificate in multiple disciplines."
"Ram Krishna Dwarika College, Magadh University","Patna, Bihar",Patna,Bihar,Private,N/A,N/A,5 Courses,None,₹6 K-34 K,,"Ram Krishna Dwarika College, Magadh University is a Private College, located in Patna, Bihar. Ram Krishna Dwarika College, Magadh University offers 5 courses at the Bachelors Levels such as BBM, BCA, BA, BCom, BSc in multiple disciplines."
Priyadarshini Institute of Architecture and Design Studies,"Nagpur, Maharashtra",Nagpur,Maharashtra,Private,N/A,N/A,2 Courses,None,₹1.68 L-1.68 L,,"Priyadarshini Institute of Architecture and Design Studies is a Private College, located in Nagpur, Maharashtra. Priyadarshini Institute of Architecture and Design Studies offers 2 courses at the Masters Levels such as M.Arch, M.Des in multiple disciplines."
"The New College, Kohlapur","Kolhapur, Maharashtra",Kolhapur,Maharashtra,Private,3.7,N/A,8 Courses,None,-/-,,"The New College, Kohlapur is a Private College, located in Kolhapur, Maharashtra. The New College, Kohlapur offers 8 courses at the Bachelors, Masters, Doctorate Levels such as BCA, BA, BCom, BSc, MA, M.Phil, MSc, PhD in multiple disciplines."
Dr. Bhanuben Mahendra Nanavati College of Home Science,"Samastipur, Bihar",Samastipur,Bihar,Private,3.9,N/A,4 Courses,None,-/-,,"Dr. Bhanuben Mahendra Nanavati College of Home Science is a Private College, located in Samastipur, Bihar. Dr. Bhanuben Mahendra Nanavati College of Home Science offers 4 courses at the Bachelors, Masters, Postgraduate Diploma Levels such as BCA, MCA, BSc, PGD in multiple disciplines."
Justice Basheer Ahmed Sayeed College for Women,"Chennai, Tamil Nadu",Chennai,Tamil Nadu,Public,3.4,N/A,9 Courses,None,₹42 K-1.28 L,,"Justice Basheer Ahmed Sayeed College for Women is a Public College, located in Chennai, Tamil Nadu. Justice Basheer Ahmed Sayeed College for Women offers 9 courses at the Masters, Bachelors, Doctorate Levels such as MCA, BA Hons, BCom, BSc, MA, M.Com, M.Phil, MSc, PhD in multiple disciplines."
Swami Sarvanand Institute of Mangement and Technology,"Gurdaspur, Punjab",Gurdaspur,Punjab,Private,N/A,N/A,8 Courses,JEE Main,-/-,,"Swami Sarvanand Institute of Mangement and Technology is a Private College, located in Gurdaspur, Punjab. Swami Sarvanand Institute of Mangement and Technology offers 8 courses at the Bachelors, Masters Levels such as BCA, MCA, BCom, BSc, BTech, MBA, MSc, MTech in multiple disciplines."
Gokhale Memorial Girls' College,"Kolkata, West Bengal",Kolkata,West Bengal,Private,3.5,N/A,2 Courses,None,-/-,,"Gokhale Memorial Girls' College is a Private College, located in Kolkata, West Bengal. Gokhale Memorial Girls' College offers 2 courses at the Bachelors Levels such as BA Hons, BSc Hons in multiple disciplines."
Shri Dharmasthala Manjunatheshwara Law College and Centre for Postgraduate Studies and Research in Law,"Mangalore, Karnataka",Mangalore,Karnataka,Private,N/A,N/A,4 Courses,None,-/-,,"Shri Dharmasthala Manjunatheshwara Law College and Centre for Postgraduate Studies and Research in Law is a Private College, located in Mangalore, Karnataka. Shri Dharmasthala Manjunatheshwara Law College and Centre for Postgraduate Studies and Research in Law offers 4 courses at the Bachelors, Masters, Postgraduate Diploma Levels such as LLB, LLM, BA, PGD in multiple disciplines."
PES Modern College of Pharmacy (For Ladies),"Pune, Maharashtra",Pune,Maharashtra,Private,N/A,N/A,2 Courses,None,-/-,,"PES Modern College of Pharmacy (For Ladies) is a Private College, located in Pune, Maharashtra. PES Modern College of Pharmacy (For Ladies) offers 2 courses at the Bachelors, Masters Levels such as B.Pharmacy, M.Pharm in multiple disciplines."
NIFTEM - National Institute of Food Technology Entrepreneurship and Management,"Sonipat, Haryana",Sonipat,Haryana,Public,4,N/A,4 Courses,JEE Main,₹27 K-3.44 L,https://media.getmyuni.com/azure/college-image/small/national-institute-of-food-technology-entrepreneurship-and-management-niftem-sonepat.jpg,"NIFTEM - National Institute of Food Technology Entrepreneurship and Management is a Public College, located in Sonipat, Haryana. NIFTEM - National Institute of Food Technology Entrepreneurship and Management offers 4 courses at the Bachelors, Masters, Doctorate Levels such as BTech, MBA, MTech, PhD in multiple disciplines."
C.L. Baid Metha College of Pharmacy,"Chennai, Tamil Nadu",Chennai,Tamil Nadu,Private,N/A,N/A,4 Courses,None,-/-,https://media.getmyuni.com/azure/college-image/small/cl-baid-metha-college-of-pharmacy-chennai.jpg,"C.L. Baid Metha College of Pharmacy is a Private College, located in Chennai, Tamil Nadu. C.L. Baid Metha College of Pharmacy offers 4 courses at the Bachelors, Doctorate, Masters Levels such as B.Pharmacy, Pharm.D, M.Pharm, PhD in multiple disciplines."
Mewar University,"Chittorgarh, Rajasthan",Chittorgarh,Rajasthan,Private,2.8,N/A,40 Courses,None,₹15 K-3 L,https://media.getmyuni.com/azure/college-image/small/mewar-university-mu-chittorgarh.webp,"Mewar University is a Private University, located in Chittorgarh, Rajasthan. Mewar University offers 40 courses at the Bachelors, Masters, Doctorate, Postgraduate Diploma, Diploma Levels such as BMLT, BBA, BCA, BFA, BHM, LLB, B.Lib.I.Sc, B.Pharmacy, B.P.Ed, BPT, BVA, B.Voc, MCA, MHM, LLM, MPT, MSW, BA Hons, BCom, B.Ed, BSc Hons, BTech, MA, MBA, M.Com, M.Pharm, M.Phil, MSc, MTech, BHMCT, PhD, PGD, Bachelor of Performing Arts, MTTM, BID, BTTM, MHM, MSC, Advance Diploma, BA LLB in multiple disciplines."
EIILM Kolkata,"Kolkata, West Bengal",Kolkata,West Bengal,Private,N/A,N/A,4 Courses,CAT,₹2.70 L-6.48 L,https://media.getmyuni.com/azure/college-image/small/eastern-institute-for-integrated-learning-in-management-eiilm-kolkata.jpg,"EIILM Kolkata is a Private College, located in Kolkata, West Bengal. EIILM Kolkata offers 4 courses at the Bachelors, Masters Levels such as BBA, BCA, BSc, MBA in multiple disciplines."
Uttar Banga Krishi Viswavidyalaya,"Cooch Behar, West Bengal",Cooch Behar,West Bengal,Public,3.5,N/A,5 Courses,None,-/-,https://media.getmyuni.com/azure/college-image/small/uttar-banga-krishi-vishwavidyalaya-cooch-behar.jpg,"Uttar Banga Krishi Viswavidyalaya is a Public College, located in Cooch Behar, West Bengal. Uttar Banga Krishi Viswavidyalaya offers 5 courses at the Bachelors, Masters, Doctorate, Postgraduate Diploma Levels such as BSc Hons, BTech, MSc, PhD, PGD in multiple disciplines."
Adarsh Group of Institutions,"Bangalore, Karnataka",Bangalore,Karnataka,Private,N/A,N/A,1 Courses,None,₹3 L,https://media.getmyuni.com/azure/college-image/small/adarsh-group-of-institutions-agi-bangalore.jpg,"Adarsh Group of Institutions is a Private College, located in Bangalore, Karnataka. Adarsh Group of Institutions offers 1 courses at the Masters Levels such as MBA in multiple disciplines."
"Ramniranjan Jhunjhunwala College of Arts, Science and Commerce","Guwahati, Assam",Guwahati,Assam,Private,3.9,N/A,9 Courses,None,-/-,,"Ramniranjan Jhunjhunwala College of Arts, Science and Commerce is a Private College, located in Guwahati, Assam. Ramniranjan Jhunjhunwala College of Arts, Science and Commerce offers 9 courses at the Bachelors, Masters, Doctorate, Postgraduate Diploma Levels such as BMS, BA, BCom, BSc, MA, M.Phil, MSc, PhD, PGD in multiple disciplines."
Konkan Krishi Vidyapeeth,"Ratnagiri, Maharashtra",Ratnagiri,Maharashtra,Public,3.1,N/A,7 Courses,None,-/-,,"Konkan Krishi Vidyapeeth is a Public College, located in Ratnagiri, Maharashtra. Konkan Krishi Vidyapeeth offers 7 courses at the Bachelors, Masters, Doctorate Levels such as BFSc, M.F.Sc, BSc, BTech, MSc, MTech, PhD in multiple disciplines."
Sasmira's Institute of Management Studies and Research,"Mumbai, Maharashtra",Mumbai,Maharashtra,Private,N/A,N/A,4 Courses,None,-/-,,"Sasmira's Institute of Management Studies and Research is a Private College, located in Mumbai, Maharashtra. Sasmira's Institute of Management Studies and Research offers 4 courses at the Masters, Doctorate, Postgraduate Certificate Levels such as MMS, MMM, PhD, PGC in multiple disciplines."
Dr. M.V. Shetty Institute of Technology,"Mangalore, Karnataka",Mangalore,Karnataka,Private,2.6,N/A,1 Courses,None,-/-,,"Dr. M.V. Shetty Institute of Technology is a Private College, located in Mangalore, Karnataka. Dr. M.V. Shetty Institute of Technology offers 1 courses at the Bachelors Levels such as Bachelor of Engineering in multiple disciplines."
HBS - Hallmark Business School,"Tiruchirappalli, Tamil Nadu",Tiruchirappalli,Tamil Nadu,Private,N/A,N/A,1 Courses,CAT,-/-,,"HBS - Hallmark Business School is a Private College, located in Tiruchirappalli, Tamil Nadu. HBS - Hallmark Business School offers 1 courses at the Masters Levels such as MBA in multiple disciplines."
SKUAST - Sher-E-Kashmir University of Agricultural Sciences and Technology of Kashmir,"Srinagar, Jammu And Kashmir",Srinagar,Jammu And Kashmir,Public,2.3,N/A,8 Courses,None,-/-,,"SKUAST - Sher-E-Kashmir University of Agricultural Sciences and Technology of Kashmir is a Public College, located in Srinagar, Jammu And Kashmir. SKUAST - Sher-E-Kashmir University of Agricultural Sciences and Technology of Kashmir offers 8 courses at the Bachelors, Masters, Doctorate Levels such as B.V.Sc, M.F.Sc, M.V.Sc, BSc, BTech, MSc, MTech, PhD in multiple disciplines."
"Sardar Vallabh Bhai Patel University of Agriculture and Technology, [SVBPUAT] Meerut","Meerut, Uttar Pradesh",Meerut,Uttar Pradesh,Public,3.8,N/A,6 Courses,None,-/-,,"Sardar Vallabh Bhai Patel University of Agriculture and Technology, [SVBPUAT] Meerut is a Public College, located in Meerut, Uttar Pradesh. Sardar Vallabh Bhai Patel University of Agriculture and Technology, [SVBPUAT] Meerut offers 6 courses at the Bachelors, Masters, Doctorate Levels such as B.V.Sc, BSc, BTech, MSc, MTech, PhD in multiple disciplines."
Kamal Institute of Higher Education and Advance Technology,"Delhi, Delhi NCR",Delhi,Delhi NCR,Private,2.8,N/A,4 Courses,None,-/-,,"Kamal Institute of Higher Education and Advance Technology is a Private College, located in Delhi NCR. Kamal Institute of Higher Education and Advance Technology offers 4 courses at the Bachelors Levels such as BCA, BCom, B.Ed, BSc in multiple disciplines."
Surendera Group of Institutions,"Sri Ganganagar, Rajasthan",Sri Ganganagar,Rajasthan,Private,3.4,N/A,6 Courses,NEET,-/-,,"Surendera Group of Institutions is a Private College, located in Sri Ganganagar, Rajasthan. Surendera Group of Institutions offers 6 courses at the Bachelors, Masters Levels such as BDS, BPT, BTech, MBA, MDS, MTech in multiple disciplines."
Kerala Veterinary And Animal Sciences University - KVASU,"Wayanad, Kerala",Wayanad,Kerala,Public,N/A,N/A,5 Courses,None,-/-,,"Kerala Veterinary And Animal Sciences University - KVASU is a Public University, located in Wayanad, Kerala. Kerala Veterinary And Animal Sciences University - KVASU offers 5 courses at the Masters, Bachelors, Doctorate Levels such as M.V.Sc, BSc, MSc, MTech, PhD in multiple disciplines."
DNM Institute of Engineering & Technology,"Lucknow, Uttar Pradesh",Lucknow,Uttar Pradesh,Private,1.8,N/A,1 Courses,None,-/-,,"DNM Institute of Engineering & Technology is a Private College, located in Lucknow, Uttar Pradesh. DNM Institute of Engineering & Technology offers 1 courses at the Bachelors Levels such as BTech in multiple disciplines."
Bharatiya Vidya Bhavan Institute of Management Science - BIMSKOL,"Kolkata, West Bengal",Kolkata,West Bengal,Private,3.8,N/A,2 Courses,JEMAT,₹2.70 L-5.51 L,,"Bharatiya Vidya Bhavan Institute of Management Science - BIMSKOL is a Private College, located in Kolkata, West Bengal. Bharatiya Vidya Bhavan Institute of Management Science - BIMSKOL offers 2 courses at the Bachelors, Masters Levels such as BBA, MBA in multiple disciplines."
"Mar Baselios Institute of Technology And Science, Kothamangalam","Ernakulam, Kerala",Ernakulam,Kerala,Private,3.9,N/A,2 Courses,KEAM,-/-,,"Mar Baselios Institute of Technology And Science, Kothamangalam is a Private College, located in Ernakulam, Kerala. Mar Baselios Institute of Technology And Science, Kothamangalam offers 2 courses at the Bachelors, Masters Levels such as BTech, MTech in multiple disciplines."
T. John College,"Bangalore, Karnataka",Bangalore,Karnataka,Private,3.5,N/A,15 Courses,CMAT,₹90 K-13.25 L,,"T. John College is a Private College, located in Bangalore, Karnataka. T. John College offers 15 courses at the Bachelors, Doctorate, Masters, Diploma Levels such as BBA, BCA, BHM, B.Pharmacy, Pharm.D, MCA, BA, BCom, BSc, BTech, MBA, M.Com, M.Pharm, GNM Nursing, PhD in multiple disciplines."
Kapol College,"Mumbai, Maharashtra",Mumbai,Maharashtra,Private,4.2,N/A,4 Courses,None,-/-,,"Kapol College is a Private College, located in Mumbai, Maharashtra. Kapol College offers 4 courses at the Bachelors Levels such as BHM, BMS, BMM, BSc in multiple disciplines."
DAV College Chandigarh,"Ambala, Haryana",Ambala,Haryana,Public,3.7,N/A,11 Courses,None,₹39 K-1.24 L,,"DAV College Chandigarh is a Public College, located in Ambala, Haryana. DAV College Chandigarh offers 11 courses at the Bachelors, Masters, Postgraduate Diploma, Diploma Levels such as BBA, BCA, B.Voc, BA, BCom, BSc Hons, MA, M.Com, MSc, PGD, Advance Diploma in multiple disciplines."
Asian Business School (ABS),"Noida, Uttar Pradesh",Noida,Uttar Pradesh,Private,3.7,N/A,3 Courses,None,₹2.85 L-6.30 L,,"Asian Business School (ABS) is a Private College, located in Noida, Uttar Pradesh. Asian Business School (ABS) offers 3 courses at the Bachelors Levels such as BBA, BCA, BCom in multiple disciplines."
Vasavi College of Engineering (VCE),"Hyderabad, Telangana",Hyderabad,Telangana,Private,3.3,N/A,3 Courses,None,₹1.80 L-4.62 L,,"Vasavi College of Engineering (VCE) is a Private College, located in Hyderabad, Telangana. Vasavi College of Engineering (VCE) offers 3 courses at the Bachelors, Masters Levels such as Bachelor of Engineering, MCA, ME in multiple disciplines."
SCMS Institute of Masscom Studies - SIMS,"Kochi, Kerala",Kochi,Kerala,Private,N/A,N/A,1 Courses,None,-/-,,"SCMS Institute of Masscom Studies - SIMS is a Private College, located in Kochi, Kerala. SCMS Institute of Masscom Studies - SIMS offers 1 courses at the Postgraduate Diploma Levels such as PGD in multiple disciplines."
C U Shah Commerce College,"Ahmedabad, Gujarat",Ahmedabad,Gujarat,Private,3.1,N/A,1 Courses,None,-/-,,"C U Shah Commerce College is a Private College, located in Ahmedabad, Gujarat. C U Shah Commerce College offers 1 courses at the Bachelors Levels such as BCom in multiple disciplines."
"Sri Venkateswara College of Engineering and Technology, Chittoor","Chittoor, Andhra Pradesh",Chittoor,Andhra Pradesh,Private,2.9,N/A,4 Courses,AP EAMCET,-/-,,"Sri Venkateswara College of Engineering and Technology, Chittoor is a Private College, located in Chittoor, Andhra Pradesh. Sri Venkateswara College of Engineering and Technology, Chittoor offers 4 courses at the Masters, Bachelors Levels such as MCA, BTech, MBA, MTech in multiple disciplines."
ABBS School of Management,"Bangalore, Karnataka",Bangalore,Karnataka,Private,N/A,N/A,1 Courses,None,₹6.90 L,https://media.getmyuni.com/azure/college-image/small/abbs-school-of-management-abbssm-bangalore.jpg,"ABBS School of Management is a Private College, located in Bangalore, Karnataka. ABBS School of Management offers 1 courses at the Postgraduate Diploma Levels such as PGDM in multiple disciplines."
H.K. Institute of Management Studies and Research,"Mumbai, Maharashtra",Mumbai,Maharashtra,Private,3.1,N/A,1 Courses,None,-/-,https://media.getmyuni.com/azure/college-image/small/humera-khan-institute-of-management-studies-and-research-hkims-mumbai.jpg,"H.K. Institute of Management Studies and Research is a Private College, located in Mumbai, Maharashtra. H.K. Institute of Management Studies and Research offers 1 courses at the Postgraduate Diploma Levels such as PGDM in multiple disciplines."
